sample,orig_name_1,orig_name_2,fastq_1,fastq_2,condition,cell_line,parental_line,trim_type,trim_args
Hcy_293T_Rep1,Hcy_1_293T_4_1.fq.gz,Hcy_1_293T_4_2.fq.gz,data/softlink_data/Hcy_1_293T_4/Hcy_1_293T_4_1.fq.gz,data/softlink_data/Hcy_1_293T_4/Hcy_1_293T_4_2.fq.gz,Hcy,293T,293T,paired,
Hcy_293T_Rep2,Hcy_2_293T_5_1.fq.gz,Hcy_2_293T_5_2.fq.gz,data/softlink_data/Hcy_2_293T_5/Hcy_2_293T_5_1.fq.gz,data/softlink_data/Hcy_2_293T_5/Hcy_2_293T_5_2.fq.gz,Hcy,293T,293T,paired,
Hcy_293T_Rep3,Hcy_3_293T_6_1.fq.gz,Hcy_3_293T_6_2.fq.gz,data/softlink_data/Hcy_3_293T_6/Hcy_3_293T_6_1.fq.gz,data/softlink_data/Hcy_3_293T_6/Hcy_3_293T_6_2.fq.gz,Hcy,293T,293T,paired,
Met_293T_Rep1,Met_1_293T_1_1.fq.gz,Met_1_293T_1_2.fq.gz,data/softlink_data/Met_1_293T_1/Met_1_293T_1_1.fq.gz,data/softlink_data/Met_1_293T_1/Met_1_293T_1_2.fq.gz,Met,293T,293T,paired,
Met_293T_Rep2,Met_2_293T_2_1.fq.gz,Met_2_293T_2_2.fq.gz,data/softlink_data/Met_2_293T_2/Met_2_293T_2_1.fq.gz,data/softlink_data/Met_2_293T_2/Met_2_293T_2_2.fq.gz,Met,293T,293T,paired,
Met_293T_Rep3,Met_3_293T_3_1.fq.gz,Met_3_293T_3_2.fq.gz,data/softlink_data/Met_3_293T_3/Met_3_293T_3_1.fq.gz,data/softlink_data/Met_3_293T_3/Met_3_293T_3_2.fq.gz,Met,293T,293T,paired,
Hcy_R1_Rep1,Hcy_1_R1_10_1.fq.gz,Hcy_1_R1_10_2.fq.gz,data/softlink_data/Hcy_1_R1_10/Hcy_1_R1_10_1.fq.gz,data/softlink_data/Hcy_1_R1_10/Hcy_1_R1_10_2.fq.gz,Hcy,R1,293T,paired,
Hcy_R1_Rep2,Hcy_2_R1_11_1.fq.gz,Hcy_2_R1_11_2.fq.gz,data/softlink_data/Hcy_2_R1_11/Hcy_2_R1_11_1.fq.gz,data/softlink_data/Hcy_2_R1_11/Hcy_2_R1_11_2.fq.gz,Hcy,R1,293T,paired,
Hcy_R1_Rep3,Hcy_3_R1_12_1.fq.gz,Hcy_3_R1_12_2.fq.gz,data/softlink_data/Hcy_3_R1_12/Hcy_3_R1_12_1.fq.gz,data/softlink_data/Hcy_3_R1_12/Hcy_3_R1_12_2.fq.gz,Hcy,R1,293T,paired,
Met_R1_Rep1,Met_1_R1_7_1.fq.gz,Met_1_R1_7_2.fq.gz,data/softlink_data/Met_1_R1_7/Met_1_R1_7_1.fq.gz,data/softlink_data/Met_1_R1_7/Met_1_R1_7_2.fq.gz,Met,R1,293T,paired,
Met_R1_Rep2,Met_2_R1_8_1.fq.gz,Met_2_R1_8_2.fq.gz,data/softlink_data/Met_2_R1_8/Met_2_R1_8_1.fq.gz,data/softlink_data/Met_2_R1_8/Met_2_R1_8_2.fq.gz,Met,R1,293T,paired,
Met_R1_Rep3,Met_3_R1_9_1.fq.gz,Met_3_R1_9_2.fq.gz,data/softlink_data/Met_3_R1_9/Met_3_R1_9_1.fq.gz,data/softlink_data/Met_3_R1_9/Met_3_R1_9_2.fq.gz,Met,R1,293T,paired,
